customer_id,last_name,first_name,middle_name,last_name_yomi,first_name_yomi,middle_name_yomi,gender,birthday,register_date
1,吉田,恵,,よしだ,,めぐみ,Female,1989-07-13,2022-11-05
2,伊藤,仁美,,いとう,,ひとみ,Female,1982-12-21,2022-04-01
3,山本,淳子,,やまもと,,じゅんこ,Female,1992-07-10,2021-05-16
4,石井,かおり,,いしい,,かおり,Female,1994-01-01,2022-10-09
5,浅野,明子,,あさの,,あきこ,Female,1994-11-23,2021-11-22
6,澤田,由美,,さわだ,,ゆみ,Female,1989-08-10,2021-07-23
7,秋山,由紀,,あきやま,,ゆき,Female,1985-07-06,2022-07-18
8,佐伯,直子,,さえき,,なおこ,Female,1977-10-17,2022-04-21
9,片山,早苗,,かたやま,,さなえ,Female,1976-06-26,2022-12-14
10,森田,由希子,,もりた,,ゆきこ,Female,1984-07-09,2021-05-01
11,園田,明子,,そのだ,,あきこ,Female,1982-08-13,2022-12-18
12,小林,朗子,,こばやし,,あきこ,Female,1976-10-15,2021-06-26
13,原,麻希,,はら,,まき,Female,,2021-08-27
14,成田,奈央,,なりた,,なお,Female,1995-04-14,2022-09-10
15,小松,春奈,,こまつ,,はるな,Female,1978-10-03,2022-11-19
16,大久保,理紗,,おおくぼ,,りさ,Female,1992-04-15,2022-03-06
17,武田,萌子,,たけだ,,もえこ,Female,1987-07-09,2022-04-23
18,古川,咲,,ふるかわ,,さき,Female,1983-01-23,2021-05-01
19,甲斐,千絵,,かい,,ちえ,Female,1996-02-08,2022-05-13
20,遠藤,夕貴,,えんどう,,ゆき,Female,1973-09-28,2022-03-09
21,山口,めい,,やまぐち,,めい,Female,1975-01-25,2022-04-02
22,中島,亜子,,なかじま,,あこ,Female,1988-08-26,2021-09-25
23,山岡,葉子,,やまおか,,ようこ,Female,,2021-05-14
24,川本,真由子,,かわもと,,まゆこ,Female,1997-12-15,2021-05-01
25,佐竹,美沙,,さたけ,,みさ,Female,1984-01-31,2022-05-05
26,平松,あすか,,ひらまつ,,あすか,Female,1981-04-15,2021-06-25
27,岩崎,隆子,,いわさき,,たかこ,Female,1983-06-18,2022-06-29
28,坂田,美優,,さかた,,みゆ,Female,1979-01-09,2022-04-24
