employee_id,last_name,first_name,middle_name,gender,role,report_to,salary,birthday
1,ブラウン,グリフィン,トム,Male,デザイナー,13,5112200,1981-09-14
2,ベルガモ,ジョバンニ,,Male,デザイナー,13,7595000,1997-05-01
3,クーパー,ブレンダ,,Female,店舗管理,0,5293500,1985-08-19
4,高橋,大介,,Male,デザイナー,13,7910900,1980-09-23
5,渡辺,拓也,,Male,店舗管理,0,6767200,1994-01-01
6,小川,博,,Male,店舗スタッフ,5,4928600,1975-09-26
7,臼井,努,,Male,店舗スタッフ,3,5678000,1974-12-18
8,高岡,和弘,,Male,店舗スタッフ,3,7663100,1994-11-23
9,鈴木,あゆみ,,Female,デザイナー,13,5906900,1989-01-01
10,長谷川,茜,,Female,店舗スタッフ,5,7204100,1986-10-14
11,井上,栞,,Female,店舗スタッフ,5,6778800,1989-08-10
12,望月,千春,,Female,店舗スタッフ,3,7458100,1973-01-22
13,内藤,沙耶,,Female,商品企画,0,5874800,1994-05-13
14,梶山,美紀,,Female,店舗スタッフ,3,7477500,1984-04-21
15,中村,史子,,Female,店舗スタッフ,5,5013500,1996-09-28
